correct	VR	corrected	prob
Wat zijn je bekendste zintuigen 	Wat je bekendste zintuigen zijn 	Wat zijn je bekendste zintuigen	1.143843505558218e-18
En hoe werken ze 	werken En hoe ze 	En hoe werken ze	3.954028504593498e-12
Die werken nauw samen 	Die nauw samen werken 	Die werken nauw samen	2.0524945078977434e-14
De hoofdstad is Nairobi 	De hoofdstad Nairobi is 	De hoofdstad Nairobi is	8.055951460214281e-16
Kenia ligt op de evenaar 	Kenia op de evenaar ligt 	Kenia ligt op de evenaar	3.1006253485321e-20
Vlies dat veel bloedvaten bevat 	Vlies bevat dat veel bloedvaten 	Vlies dat veel bloedvaten bevat	6.929224501154806e-25
Er gebeurden ongelukken 	gebeurden Er ongelukken 	Er gebeurden ongelukken	7.105050760757834e-17
Hij werkte in de politiek 	werkte Hij in de politiek 	Hij werkte in de politiek	1.068369021479523e-11
Dat noemen we de leerplicht 	Dat we noemen de leerplicht 	Dat noemen we de leerplicht	5.380392386230358e-16
Het laat warmte door 	Het warmte laat door 	Het laat warmte door	1.9856821512047907e-16
Soms gewenst soms ongewenst 	Soms gewenst soms ongewenst 	Soms soms ongewenst gewenst	1.2868371938059085e-22
Er is ingebroken vannacht 	Er vannacht ingebroken is 	Er is vannacht ingebroken	1.589901864587275e-15
Bram is klein 	Bram klein is 	Bram is klein	1.6347133048568354e-13
Bram weet ontzettend veel 	Bram ontzettend weet veel 	Bram weet ontzettend veel	1.2977852733291221e-17
En de gevangenen natuurlijk 	gevangenen En de natuurlijk 	En de gevangenen natuurlijk	1.9323552656989165e-13
Duizenden meeuwen en honderden gevangenen 	gevangenen Duizenden meeuwen en honderden 	Duizenden meeuwen en honderden gevangenen	3.2334767284018437e-24
Ze was toen pas zes 	Ze toen pas was zes 	Ze was toen pas zes	2.998279174374318e-17
Het suddert en het smeult 	Het en suddert het smeult 	Het en het smeult suddert	3.243252375884212e-19
Ik had het koud 	Ik het had koud 	Ik had het koud	5.238179170294176e-13
Hij stierf 	stierf Hij 	Hij stierf	6.875671397812774e-10
Het had hem altijd meegezeten 	had Het meegezeten hem altijd 	Het had hem altijd meegezeten	3.892711705673288e-15
Als we geluk hebben wel 	Als we geluk wel hebben 	Als we geluk hebben wel	5.72882559388754e-17
Maar hoe zit het beroepsvaardigheden 	Maar hoe het beroepsvaardigheden zit 	Maar hoe zit het beroepsvaardigheden	9.533669866410948e-13
Dat kan wel 	kan Dat wel 	Dat kan wel	4.2500392572700846e-10
De jongen weet het niet 	De jongen het niet weet 	De jongen weet het niet	1.5864588381689133e-14
Maar waarom vraagt Rutger hem 	Maar waarom vraagt Rutger hem 	Maar waarom vraagt Rutger hem	1.0400657607002909e-20
Wat zijn gezondheidsvaardigheden 	Wat gezondheidsvaardigheden zijn 	Wat zijn gezondheidsvaardigheden	1.3142606440172774e-09
Waarom delen 	delen Waarom 	delen Waarom	4.4232677701542437e-11
Wat betekent dit voor medewerkers 	Wat dit voor betekent medewerkers 	Wat betekent dit voor medewerkers	3.399531899352079e-16
De regels staan hier onder 	staan De regels hier onder 	De regels staan hier onder	2.2704556855668406e-17
De bank vraagt om zekerheid 	De bank om vraagt zekerheid 	De bank vraagt om zekerheid	2.6591159819958427e-19
Een doorlopend krediet 	Een krediet doorlopend 	Een doorlopend krediet	2.3738080504213927e-15
Hierbij tekende hij ook veel 	Hierbij hij ook veel tekende 	Hierbij tekende hij ook veel	9.11555080885492e-20
Soms ook is er twijfel 	Soms is ook er twijfel 	Soms is ook er twijfel	6.83563228940043e-19
Levercellen zijn buitengewoon actief 	Levercellen buitengewoon actief zijn 	Levercellen zijn buitengewoon actief	3.735592914246673e-18
Het skelet geeft stevigheid 	Het geeft skelet stevigheid 	Het skelet geeft stevigheid	8.402815560242317e-20
Dit is ontspannen rechtop staan 	Dit is staan ontspannen rechtop 	Dit is ontspannen rechtop staan	1.1415767292743571e-20
Niemand kon me werkelijk bereiken 	bereiken Niemand kon me werkelijk 	Niemand kon me werkelijk bereiken	5.888796644642932e-21
Hoe hoog is uw belastingvoordeel 	Hoe hoog uw is belastingvoordeel 	Hoe hoog is uw belastingvoordeel	1.3822250605377025e-17
Dat is dan weer lectuur 	Dat dan weer is lectuur 	Dat is dan weer lectuur	8.23396753658651e-17
Wat kun je vandaag verwachten 	Wat je vandaag verwachten kun 	Wat kun je vandaag verwachten	1.0178865115636942e-16
Wat heb je gemist 	heb Wat gemist je 	Wat heb je gemist	2.9665678293832724e-12
Daarom begrijpt ze Lotte goed 	begrijpt Daarom ze Lotte goed 	Daarom begrijpt ze Lotte goed	2.5570095392227084e-22
De deur is op slot 	De deur op is slot 	De deur is op slot	9.084078974709282e-15
Ze is alleen 	is Ze alleen 	Ze is alleen	1.9618003027272204e-10
Het licht is uit 	Het is licht uit 	Het is licht uit	9.63336528893391e-13
Ze is geblinddoekt 	Ze geblinddoekt is 	Ze is geblinddoekt	1.7309636795713995e-12
Malorie weet echter niet waar 	weet Malorie echter niet waar 	Malorie weet echter niet waar	1.0057103757240093e-15
Ze ademt in 	ademt Ze in 	Ze ademt in	1.2047082829356427e-13
Ze houdt haar adem in 	Ze haar houdt adem in 	Ze houdt haar adem in	9.743813486627302e-18
Ze ademt uit 	Ze uit ademt 	Ze ademt uit	2.333571095642535e-13
Goedkoop is dat niet 	is Goedkoop dat niet 	Goedkoop is dat niet	2.2637006207373364e-14
Faycal Hoessein was hun leider 	Faycal was Hoessein hun leider 	Faycal Hoessein was hun leider	1.2594393822628081e-20
En dat is bijzonder 	is En dat bijzonder 	En dat is bijzonder	3.0727837070449412e-12
Bestaan er geen eerstegraads familie 	er geen Bestaan eerstegraads familie 	er geen Bestaan eerstegraads familie	6.804516976495983e-27
Hout Hout is een materiaalgroep 	Hout Hout een is materiaalgroep 	is Hout Hout een materiaalgroep	9.659329305114097e-20
Hout is gemakkelijk te bewerken 	Hout gemakkelijk is bewerken te 	Hout is gemakkelijk te bewerken	4.373352611077684e-20
Hout is brandbaar 	Hout brandbaar is 	Hout is brandbaar	5.348831090495659e-15
Plastics Plastics zijn kunststoffen 	zijn Plastics Plastics kunststoffen 	zijn Plastics Plastics kunststoffen	2.110615858791924e-24
Natuurlijke vezels zijn goed afbreekbaar 	Natuurlijke vezels goed zijn afbreekbaar 	Natuurlijke vezels zijn goed afbreekbaar	1.3435354244923525e-22
Bijvoorbeeld hoeveel kinderen aanwezig zijn 	Bijvoorbeeld zijn hoeveel kinderen aanwezig 	Bijvoorbeeld hoeveel kinderen zijn aanwezig	5.990575975504733e-20
Hoe gaat het vandaag 	gaat Hoe het vandaag 	Hoe gaat het vandaag	1.769715292287013e-12
Wie ben ik 	ben Wie ik 	Wie ben ik	4.067901684171503e-09
Van drummen tot hitjes produceren 	Van produceren drummen tot hitjes 	produceren Van drummen tot hitjes	1.799305995351392e-24
Dat merken ook deze kinderen 	merken Dat ook deze kinderen 	Dat merken ook deze kinderen	3.871258114087054e-17
Ergens is dat fijn 	Ergens dat fijn is 	Ergens is dat fijn	2.1627561523228265e-15
Ik vind dat heel raar 	Ik dat heel raar vind 	Ik vind dat heel raar	1.7499408400107673e-13
Misschien zelfs het hotel overnemen 	Misschien overnemen zelfs het hotel 	Misschien zelfs het hotel overnemen	2.3716867696604892e-21
Als dat kan 	kan Als dat 	Als dat kan	5.589832432408918e-10
Dat is nog niet gebeurd 	Dat gebeurd nog is niet 	Dat is nog niet gebeurd	1.7163879920459518e-12
Wat had je vader gedaan 	gedaan Wat je had vader 	Wat gedaan je had vader	1.0
Dat was veiliger voor ons 	Dat veiliger voor was ons 	Dat was veiliger voor ons	4.944036577650022e-16
We hadden schema s 	We schema hadden s 	We hadden schema s	3.6418359413232906e-22
En dat deed ik ook 	En dat ik ook deed 	En dat deed ik ook	1.2680845568774072e-12
Focus is belangrijk 	is Focus belangrijk 	Focus is belangrijk	9.082920719709652e-15
Digitale vaardig zijn 	zijn Digitale vaardig 	zijn Digitale vaardig	1.0078371340739559e-16
Men noemde ze amfitheaters 	noemde Men ze amfitheaters 	Men noemde ze amfitheaters	7.824978359747004e-16
Tandartsen worden bijgestaan door tandartsassistenten 	bijgestaan Tandartsen door worden tandartsassistenten 	Tandartsen door bijgestaan worden tandartsassistenten	1.7991716249362436e-19
Ga naar Instellingen 2 	naar Instellingen 2 Ga 	naar Ga Instellingen 2	1.371940041244792e-18
Geen bericht is goed bericht 	is Geen bericht goed bericht 	Geen bericht is goed bericht	3.303797045722854e-20
Laat de resultaten zien 	de Laat zien resultaten 	Laat de resultaten zien	2.2280682971627104e-14
Conceptvragen komen weer helemaal terug 	komen Conceptvragen weer helemaal terug 	Conceptvragen komen weer helemaal terug	4.9489891171569204e-17
Nederland is een WestEuropees land 	Nederland een WestEuropees land is 	Nederland is een WestEuropees land	3.6830170060094277e-17
De bewijzen zijn overduidelijk 	De bewijzen overduidelijk zijn 	De bewijzen zijn overduidelijk	6.731334092087139e-16
Ze leveren grondstoffen en voedsel 	Ze grondstoffen en leveren voedsel 	Ze leveren grondstoffen en voedsel	1.3991147113173584e-19
Ze leveren grondstoffen en voedsel 	Ze grondstoffen en voedsel leveren 	Ze leveren grondstoffen en voedsel	1.3991147113173584e-19
Ken je de sport skeleton 	je de sport skeleton Ken 	je de sport skeleton Ken	4.542147271578223e-22
Hoe werkt het 	werkt Hoe het 	Hoe werkt het	2.687483846915918e-10
En ledverlichting verplichten 	En verplichten ledverlichting 	En ledverlichting verplichten	3.3477348263537736e-13
Klaar ben je 	ben Klaar je 	Klaar ben je	4.332354179117605e-15
Hoe is de elearning opgebouwd 	Hoe is opgebouwd de elearning 	Hoe is de elearning opgebouwd	3.6880599096485895e-14
Accreditatie is aangevraagd 	aangevraagd Accreditatie is 	Accreditatie is aangevraagd	6.028909963971889e-13
Maar hoe goed werken mondkapjes 	Maar hoe goed mondkapjes werken 	Maar hoe goed mondkapjes werken	1.3563842175637175e-16
NEMO Kennislink interviewde hem 	NEMO Kennislink hem interviewde 	NEMO Kennislink interviewde hem	5.788946898176449e-20
Maar werkt het nou echt 	Maar het werkt nou echt 	Maar werkt het nou echt	1.5168221267052333e-14
Zo rommelde ik wat aan 	Zo ik wat aan rommelde 	Zo rommelde ik wat aan	2.04738482949085e-19
Robin wrijft in zijn ogen 	wrijft Robin in zijn ogen 	wrijft Robin in zijn ogen	1.2475450922888353e-19
Het lukt niet 	Het niet lukt 	Het lukt niet	2.8515363551196448e-11
Wat is dit nu weer 	is Wat dit nu weer 	Wat is dit nu weer	2.8972932162714626e-14
Dat is het 	is Dat het 	Dat is het	7.810001514333173e-09
Hij tilt Knor op 	Hij Knor tilt op 	Hij tilt Knor op	3.3745152407316554e-20
Hij is een varken 	Hij een is varken 	Hij is een varken	5.6162851969152805e-12
Hij slaapt gewoon door 	Hij gewoon door slaapt 	Hij slaapt gewoon door	2.4069516247348612e-14
Steeds meer Nederlanders zien slecht 	Steeds meer zien Nederlanders slecht 	Steeds meer Nederlanders zien slecht	1.4178643071977775e-19
Zij hebben moeite met kijken 	Zij hebben moeite kijken met 	Zij hebben moeite met kijken	2.6436559769757433e-19
Deze mensen zijn bijziend 	zijn Deze mensen bijziend 	Deze mensen zijn bijziend	1.0964896301131039e-13
Andere mensen zijn verziend 	Andere mensen verziend zijn 	zijn Andere verziend mensen	3.2390718696456946e-15
Blinde mensen hebben een stok 	Blinde mensen een stok hebben 	Blinde mensen hebben een stok	4.0082598204589007e-22
Dat is normaal 	is Dat normaal 	Dat is normaal	2.3547106698529903e-10
Je noemt die regels omgangsregels 	Je die noemt regels omgangsregels 	Je noemt die regels omgangsregels	1.2621540495906188e-19
Toch ken je ze wel 	Toch je ken ze wel 	Toch ken je ze wel	8.2053538217838e-17
Je blijft lerenden wel monitoren 	Je lerenden blijft monitoren wel 	Je blijft lerenden wel monitoren	1.5112226408725418e-17
De motoren minderen vaart 	De minderen vaart motoren 	De minderen vaart motoren	3.56409299078986e-20
Ze stoppen 	stoppen Ze 	Ze stoppen	1.0099473603485579e-10
Het meisje zit heel stil 	Het zit meisje heel stil 	Het meisje zit heel stil	1.3504506966886177e-17
Gebruik toetsen als leeractiviteit 	toetsen Gebruik als leeractiviteit 	Gebruik als toetsen leeractiviteit	1.9600178591626946e-19
Wij spreken wel van stadstaten 	Wij wel van stadstaten spreken 	Wij spreken wel van stadstaten	5.394479706034522e-16
Maar hij zweeg 	zweeg Maar hij 	Maar hij zweeg	7.43852269159341e-13
De gebeurtenissen gaven hem gelijk 	gaven De gebeurtenissen hem gelijk 	De gebeurtenissen gaven hem gelijk	1.3475118899882596e-19
Ieder ogenblik werd er gebombardeerd 	Ieder ogenblik er werd gebombardeerd 	Ieder ogenblik werd er gebombardeerd	2.442407128629011e-20
Er ontstaan patronen 	Er patronen ontstaan 	Er patronen ontstaan	5.1198427377960405e-15
Grappig is het wel 	is Grappig het wel 	Grappig is het wel	1.1256283425929752e-13
Bestaat er een Europees auteursrecht 	er een Europees Bestaat auteursrecht 	er Bestaat een Europees auteursrecht	1.853706735459659e-21
Iedereen kan meedoen 	kan meedoen Iedereen 	Iedereen kan meedoen	1.8948551876803856e-13
Dit noem je ontginningen 	Dit je noem ontginningen 	Dit noem je ontginningen	7.80635056362909e-14
Waar gaat het gesprek over 	Waar het gesprek over gaat 	Waar gaat het gesprek over	3.079324723364928e-16
Wat neemt u mee 	neemt Wat u mee 	Wat neemt u mee	2.2508792993672188e-13
We rekenen op uw komst 	We op rekenen uw komst 	We rekenen op uw komst	3.16082084237222e-19
Ivan keek op 	keek Ivan op 	keek Ivan op	6.377873818180824e-17
Alles aan hem was uitvergroot 	Alles uitvergroot aan hem was 	Alles was aan hem uitvergroot	5.316374865445344e-19
Ik herkende die gezichtsuitdrukking 	herkende Ik die gezichtsuitdrukking 	Ik herkende die gezichtsuitdrukking	2.0018624921508893e-14
Hij hoorde bij ons 	Hij bij hoorde ons 	Hij hoorde bij ons	3.2605139783224907e-13
Heel even maakten we oogcontact 	maakten Heel even we oogcontact 	Heel even maakten we oogcontact	1.395209446509589e-24
Wanneer waren die middeleeuwen 	Wanneer die waren middeleeuwen 	Wanneer waren die middeleeuwen	4.834578193723147e-15
Ze hadden filosofen zoals Plato 	Ze filosofen hadden zoals Plato 	Ze hadden filosofen zoals Plato	4.172231174898696e-22
Dat viel uit elkaar 	viel Dat uit elkaar 	Dat viel uit elkaar	3.1749673106389773e-13
Zo vormden ze grote riffen 	Zo ze grote riffen vormden 	Zo vormden ze grote riffen	3.3544924579527726e-17
Klopt het overzicht 	het Klopt overzicht 	het Klopt overzicht	3.0902598709246336e-15
Klopt het niet 	het niet Klopt 	het niet Klopt	4.7668174586735494e-15
Vragen of overleggen 	Vragen overleggen of 	Vragen of overleggen	7.524820232565744e-15
Wij helpen u graag verder 	helpen Wij u graag verder 	Wij helpen u graag verder	3.711295028433654e-19
Vele oersoorten zijn uitgestorven 	zijn uitgestorven Vele oersoorten 	Vele oersoorten zijn uitgestorven	4.76641675053461e-16
Paramedici hebben een hboopleiding gevolgd 	Paramedici een hebben hboopleiding gevolgd 	Paramedici hebben een hboopleiding gevolgd	6.663094200056238e-19
De Grifthoek duurt 3 jaar 	De duurt Grifthoek 3 jaar 	De Grifthoek duurt 3 jaar	1.002264590780362e-15
Welke vervoermiddelen staan er precies 	staan Welke vervoermiddelen er precies 	Welke vervoermiddelen staan er precies	6.591855579905436e-20
Ook hebben sommige autos kinderzitjes 	hebben Ook sommige autos kinderzitjes 	Ook hebben sommige autos kinderzitjes	7.78996641435706e-19
Paspoort of identiteitskaart teruggevonden 	Paspoort of teruggevonden identiteitskaart 	teruggevonden Paspoort of identiteitskaart	7.32173461985877e-22
Maar Silver heeft een punt 	Maar heeft Silver een punt 	Maar Silver heeft een punt	1.7049490842965555e-19
Ik ga voetballen 	voetballen Ik ga 	Ik ga voetballen	2.2879010840385244e-12
De zon schijnt eindelijk 	schijnt De zon eindelijk 	De zon schijnt eindelijk	6.607828255830257e-17
Maak de zin vragend 	de zin vragend Maak 	de zin Maak vragend	1.5869389857624862e-15
Voorbeeld Joost kan goed voetballen 	voetballen Voorbeeld Joost goed kan 	Voorbeeld kan Joost goed voetballen	2.0698281349674564e-24
Kan Joost goed voetballen 	voetballen Joost goed Kan 	Joost Kan voetballen goed	1.8607580916986705e-19
Voorbeeld Joost kan goed voetballen 	kan Voorbeeld Joost voetballen goed 	Voorbeeld kan Joost goed voetballen	2.0698281349674564e-24
Joost kon goed voetballen 	kon voetballen Joost goed 	Joost kon voetballen goed	6.917641846785647e-18
Ook volwassenen pesten elkaar 	Ook pesten volwassenen elkaar 	Ook volwassenen pesten elkaar	4.932208505617296e-20
Het is gemeen 	is Het gemeen 	Het is gemeen	6.2707047735777e-11
Iemand scheldt een collega uit 	scheldt Iemand een collega uit 	Iemand scheldt een collega uit	2.2802050586216587e-20
Of ze zeggen vervelende dingen 	Of ze vervelende zeggen dingen 	Of ze vervelende dingen zeggen	2.6799380144652627e-20
Andere collega s gaan meedoen 	meedoen Andere collega s gaan 	Andere collega meedoen s gaan	4.3920383157151175e-26
Er zijn twee soorten platen 	Er twee zijn soorten platen 	Er twee zijn soorten platen	1.743840037385973e-21
Die bewegingen worden convectiestromen genoemd 	Die bewegingen worden genoemd convectiestromen 	Die bewegingen convectiestromen genoemd worden	6.4749111208169236e-18
Plastic is briljant 	is Plastic briljant 	Plastic briljant is	2.8309881936366873e-18
Wil je een uitdaging 	je een uitdaging Wil 	Wil je een uitdaging	8.450731109947904e-15
En dat is plastic 	is En dat plastic 	En dat plastic is	1.094573678906138e-13
De aarde bestaat uit lagen 	De lagen bestaat aarde uit 	De lagen bestaat aarde uit	1.2351751667515185e-19
Daar is het heel heet 	Daar het heet heel is 	Daar het heel heet is	1.0315656310426042e-15
Dan heb je de binnenmantel 	Dan je de binnenmantel heb 	Dan heb je de binnenmantel	8.639484294814094e-15
Daaroverheen heb je de buitenmantel 	Daaroverheen je heb de buitenmantel 	Daaroverheen heb je de buitenmantel	4.0224741667486914e-14
Daar vind je magma 	Daar je magma vind 	Daar vind je magma	2.1149081402588942e-16
Die puzzelstukken heten aardplaten 	Die heten puzzelstukken aardplaten 	Die heten aardplaten puzzelstukken	4.41586293303472e-15
Dat zit zo 	Dat zo zit 	Dat zit zo	3.811346784217274e-11
Zijn ouders waren niet getrouwd 	Zijn getrouwd ouders waren niet 	Zijn ouders waren niet getrouwd	2.2299666356668306e-17
De korpsleiding noemt dat scheefgroei 	De korpsleiding dat scheefgroei noemt 	De korpsleiding noemt dat scheefgroei	5.090771686659205e-22
Wat is de prehistorie 	Wat de prehistorie is 	Wat is de prehistorie	6.010186541514157e-13
Maar dat zijn miljoenen jaren 	Maar dat miljoenen zijn jaren 	Maar dat zijn miljoenen jaren	2.0172078379160002e-16
En wanneer begint de geschiedenis 	En wanneer de begint geschiedenis 	En wanneer begint de geschiedenis	1.5227783877108437e-15
Prehistorie betekent letterlijk voorgeschiedenis 	Prehistorie letterlijk voorgeschiedenis betekent 	Prehistorie betekent letterlijk voorgeschiedenis	2.0116835692322155e-24
Ze maakten wel rotstekeningen 	Ze wel maakten rotstekeningen 	Ze maakten wel rotstekeningen	5.187408395070639e-14
Wat betekent prehistorie 	Wat prehistorie betekent 	Wat betekent prehistorie	1.273212653921162e-14
Prehistorie betekent voorgeschiedenis 	betekent Prehistorie voorgeschiedenis 	Prehistorie betekent voorgeschiedenis	8.120125242278228e-20
Ze maakten wel rotstekeningen 	maakten Ze wel rotstekeningen 	Ze maakten wel rotstekeningen	5.187408395070639e-14
Dat heet programmatische preventie 	heet Dat programmatische preventie 	Dat heet programmatische preventie	8.768026425277606e-17
Zintuigen bestaan uit zintuigcellen 	Zintuigen uit bestaan zintuigcellen 	bestaan Zintuigen uit zintuigcellen	2.5607081526866167e-17
Zintuigen bestaan uit zintuigcellen 	Zintuigen uit bestaan zintuigcellen 	bestaan Zintuigen uit zintuigcellen	2.5607081526866167e-17
De zenuwcellen vormen samen zenuwen 	vormen De zenuwcellen samen zenuwen 	De zenuwcellen vormen samen zenuwen	1.5752146654654888e-22
Het internet staat onder druk 	Het internet onder staat druk 	Het internet staat onder druk	1.3064996466760746e-16
Dat moet anders 	Dat anders moet 	Dat moet anders	1.8801509806071885e-11
Voorbeeldproject een simpel keukenkastje bouwen 	Voorbeeldproject een simpel bouwen keukenkastje 	Voorbeeldproject een simpel keukenkastje bouwen	1.0202466839344348e-21
Dit hoeft niet heel uitgebreid 	uitgebreid Dit hoeft niet heel 	Dit hoeft niet heel uitgebreid	1.9845020395389334e-16
PSV speelde tegen VVV Venlo 	PSV tegen VVV speelde Venlo 	PSV speelde tegen VVV Venlo	8.564526542192036e-26
De hypofyse maakt hormonen aan 	De hypofyse hormonen maakt aan 	De hypofyse maakt hormonen aan	6.068349913602887e-21
Zo stopt de warmwatertoevoer 	Zo de stopt warmwatertoevoer 	Zo stopt de warmwatertoevoer	3.0415996718851184e-14
Draai de ontluchtingsnippel dicht 	de Draai ontluchtingsnippel dicht 	de Draai ontluchtingsnippel dicht	3.046814161095341e-17
Dat zijn je plichten 	Dat je zijn plichten 	Dat je zijn plichten	2.5368221225680926e-15
Je kunt ook dingen verwachten 	Je ook kunt dingen verwachten 	Je kunt ook dingen verwachten	3.586040858680125e-17
Dat zijn je rechten 	zijn Dat je rechten 	Dat zijn je rechten	3.7080081806378233e-14
Ze staan in het wetboek 	Ze in het staan wetboek 	Ze staan in het wetboek	2.7263666145867953e-16
Ook gaan beroepsvaartuigen doorgaans sneller 	Ook beroepsvaartuigen doorgaans gaan sneller 	Ook beroepsvaartuigen doorgaans sneller gaan	3.1630630870088667e-19
Daar kom je genoeg tegen 	Daar je genoeg tegen kom 	Daar kom je genoeg tegen	2.5987911685105083e-18
Ga op ontdekking 	op Ga ontdekking 	Ga op ontdekking	8.7557588405612e-16
Dat noemen we homeostase 	Dat we homeostase noemen 	Dat noemen we homeostase	1.8639089455631356e-15
Gebeurtenissen hebben een oorzaak 	Gebeurtenissen een hebben oorzaak 	Gebeurtenissen hebben een oorzaak	5.856069955836059e-17
U krijgt een krediet 	krijgt U een krediet 	U krijgt een krediet	7.398829347324038e-15
Waarom is goed kabelmanagement belangrijk 	is Waarom goed kabelmanagement belangrijk 	Waarom is goed kabelmanagement belangrijk	7.884308088915623e-19
Dit kost 10 extra 	Dit 10 extra kost 	Dit 10 extra kost	2.0386403309994514e-17
Betalen gaat via iDeal 	via gaat Betalen iDeal 	via iDeal gaat Betalen	2.6382677582489966e-17
Technische kennis is daarbij onontbeerlijk 	is Technische kennis daarbij onontbeerlijk 	Technische kennis is daarbij onontbeerlijk	3.391715655505817e-23
Dat zijn er ongeveer 800 	Dat er ongeveer 800 zijn 	Dat zijn er ongeveer 800	4.947408820222801e-14
Hoe zit dat 	zit Hoe dat 	Hoe zit dat	2.0682552804179083e-09
Meer sporten gezonder eten 	sporten Meer eten gezonder 	Meer sporten eten gezonder	1.2087254808509208e-20
Bob drinkt helemaal geen alcohol 	Bob helemaal geen drinkt alcohol 	Bob drinkt helemaal geen alcohol	2.3019396982588142e-18
Je wordt impulsiever en losser 	wordt Je impulsiever en losser 	Je wordt impulsiever en losser	1.4465151769286925e-15
Dat is fijn 	is Dat fijn 	Dat is fijn	2.4452764648473325e-10
Dat is het fijnst 	Dat het fijnst is 	Dat is het fijnst	1.1034854966333103e-09
Zo leest opa voor 	leest Zo opa voor 	leest Zo opa voor	1.2272170843833757e-18
Het is bijna Kerstmis 	Het bijna is Kerstmis 	Het is bijna Kerstmis	7.818272096111604e-15
Opa en oma zijn gekomen 	gekomen zijn Opa en oma 	Opa zijn gekomen en oma	2.614181942425026e-21
Ze blijven heel lang 	blijven Ze heel lang 	Ze blijven heel lang	2.7184056444035345e-12
Het is avond 	Het avond is 	Het avond is	3.2619025890080556e-11
Suze is al naar bed 	Suze al naar is bed 	Suze al is naar bed	4.603468890523013e-21
De hoofdstad is Boekarest 	De is hoofdstad Boekarest 	De hoofdstad is Boekarest	1.7289216165686243e-17
Waargebeurd of Legende 	of Waargebeurd Legende 	of Waargebeurd Legende	1.3379344160289357e-16
Kan geurprikkels omzetten in impulsen 	Kan omzetten geurprikkels in impulsen 	geurprikkels Kan omzetten in impulsen	1.8362038059895107e-23
Kan smaakprikkels omzetten in impulsen 	smaakprikkels in impulsen Kan omzetten 	smaakprikkels Kan omzetten in impulsen	1.8362038059895107e-23
Meer informatie vind je hier 	Meer informatie je hier vind 	Meer informatie vind je hier	5.262423595426107e-17
Dat komt door onzekerheid 	Dat door komt onzekerheid 	Dat komt door onzekerheid	9.146949425687029e-16
Welke kant je ook kiest 	Welke kiest kant je ook 	Welke kant kiest je ook	7.238712328684727e-17
Kies voor Saldo laden 	voor Saldo Kies laden 	Kies laden voor Saldo	1.5590594301784857e-21
Kies daarna voor Saldo aanvullen 	daarna voor aanvullen Kies Saldo 	daarna Kies voor aanvullen Saldo	6.935501803498511e-26
Heb je een NSabonnement 	je een NSabonnement Heb 	je Heb een NSabonnement	6.97641903577499e-16
Schaarste dwingt tot keuzes 	Schaarste tot keuzes dwingt 	Schaarste dwingt tot keuzes	9.503681735252639e-23
Niet alleen consumenten maken keuzes 	Niet maken alleen consumenten keuzes 	Niet alleen maken consumenten keuzes	3.139887992861919e-24
Denk bijvoorbeeld aan olie 	bijvoorbeeld aan Denk olie 	Denk bijvoorbeeld aan olie	4.516953988025171e-16
Hij kan weg 	kan Hij weg 	Hij kan weg	1.511240445139497e-10
In die duisternis wachten verschrikkingen 	In die wachten duisternis verschrikkingen 	In die duisternis wachten verschrikkingen	5.5071933860621595e-22
Sommige microorganismen maken je ziek 	maken Sommige microorganismen je ziek 	Sommige microorganismen maken je ziek	3.626153329716485e-20
Er is nagenoeg geen hinder 	Er nagenoeg geen hinder is 	Er is nagenoeg geen hinder	7.199132126719521e-19
De landen zijn niet onafhankelijk 	De landen niet zijn onafhankelijk 	De landen niet zijn onafhankelijk	2.3079172299451657e-16
Deze keer zegt ze niets 	zegt Deze keer ze niets 	Deze keer zegt ze niets	8.249416262800874e-17
Ze autosleutels zocht 	Ze zocht autosleutels 	Ze zocht autosleutels	1.9089917419881387e-14
Nu word je drijfnat 	word Nu je drijfnat 	Nu je drijfnat word	2.100401781721649e-16
Zoë trok een gezicht 	trok Zoë een gezicht 	Zoë trok een gezicht	4.908890807592124e-16
Ah daar liggen mijn sleutels 	Ah liggen daar mijn sleutels 	Ah liggen daar mijn sleutels	8.887969095899803e-24
Nou ik ga ervandoor 	ga Nou ik ervandoor 	Nou ik ga ervandoor	3.7658276334749854e-17
Wat is een minnelijke schuldregeling 	Wat een minnelijke schuldregeling is 	Wat is een minnelijke schuldregeling	7.312615518082054e-15
De rest wordt kwijtgescholden 	De kwijtgescholden wordt rest 	De rest wordt kwijtgescholden	1.5690359706092456e-12
Hoe verloopt de schuldregeling 	verloopt Hoe de schuldregeling 	Hoe verloopt de schuldregeling	8.305660753189139e-13
Uw VTLB is 120811 	Uw VTLB is 120811 	is Uw VTLB 120811	1.0124764924636895e-19
Hebt u nog vragen 	u nog vragen Hebt 	Hebt u nog vragen	7.070290985154342e-14
Veel dieren zijn polygaam 	Veel dieren polygaam zijn 	Veel dieren zijn polygaam	1.6844916219427484e-16
Ook cliënten hebben seksuele rechten 	Ook hebben cliënten seksuele rechten 	Ook cliënten hebben seksuele rechten	1.1943874810409602e-22
Daartoe worden verschillende levensfasen beschreven 	worden beschreven Daartoe verschillende levensfasen 	Daartoe worden verschillende levensfasen beschreven	3.5959877818961327e-20
Heeft een kind seksuele gevoelens 	een kind Heeft seksuele gevoelens 	een kind Heeft seksuele gevoelens	1.3359308010237665e-20
